,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
76,Acadia,50.9686551,-114.0555871,Petro-Canada,50.96371639797502,-114.05833125114441,Gas Station
77,Acadia,50.9686551,-114.0555871,A&W,50.971985,-114.070898,Fast Food Restaurant
78,Acadia,50.9686551,-114.0555871,Caesar's Restaurant,50.95745035710944,-114.06945743674197,Steakhouse
79,Acadia,50.9686551,-114.0555871,Safeway Southcentre,50.952728,-114.06167,Grocery Store
80,Acadia,50.9686551,-114.0555871,Dairy Queen,50.97894501604181,-114.04103503384249,Ice Cream Shop
81,Acadia,50.9686551,-114.0555871,Acadia Recreational Center,50.972256,-114.065077,Recreation Center
82,Acadia,50.9686551,-114.0555871,EB Games Deerfoot Meadows,50.98296820693881,-114.03995151321995,Video Game Store
83,Acadia,50.9686551,-114.0555871,Starbucks,50.952866,-114.067187,Coffee Shop
84,Acadia,50.9686551,-114.0555871,Simple Simon Pies,50.984883,-114.051533,Farmers Market
85,Acadia,50.9686551,-114.0555871,Michaels,50.978075847155786,-114.04360189814759,Arts & Crafts Store
86,Acadia,50.9686551,-114.0555871,Restoration Hardware,50.951952,-114.065564,Furniture / Home Store
87,Acadia,50.9686551,-114.0555871,Tang,50.98206675717648,-114.04041696858968,Vietnamese Restaurant
88,Acadia,50.9686551,-114.0555871,Second Cup,50.965255358145875,-114.07395391245298,Coffee Shop
89,Acadia,50.9686551,-114.0555871,Starbucks,50.952920820103394,-114.06487800637206,Coffee Shop
90,Acadia,50.9686551,-114.0555871,KFC,50.9665,-114.071,Fast Food Restaurant
91,Acadia,50.9686551,-114.0555871,Petland,50.98263411562156,-114.03911849926278,Pet Store
92,Acadia,50.9686551,-114.0555871,Tim Hortons,50.97660252709844,-114.07040859415982,Coffee Shop
93,Acadia,50.9686551,-114.0555871,Smitty's,50.966961652910456,-114.07037006108337,Breakfast Spot
94,Acadia,50.9686551,-114.0555871,Real Canadian Superstore,50.960769,-114.07291,Grocery Store
95,Acadia,50.9686551,-114.0555871,Starbucks,50.982065,-114.039506,Coffee Shop
96,Acadia,50.9686551,-114.0555871,Subway,50.96670598697101,-114.07313064418031,Sandwich Place
97,Acadia,50.9686551,-114.0555871,Petro-Canada,50.969694,-114.070863,Gas Station
98,Acadia,50.9686551,-114.0555871,Sandman Hotel & Suites Calgary South,50.98224364935829,-114.04500549806474,Hotel
99,Acadia,50.9686551,-114.0555871,Atlantic Trap & Gill,50.9802050713209,-114.07569023594141,Pub
100,Acadia,50.9686551,-114.0555871,Buffalo Wild Wings,50.9680576,-114.072294,Wings Joint
101,Acadia,50.9686551,-114.0555871,GAP Factory Outlet Store,50.97854081742038,-114.04364219302738,Clothing Store
102,Acadia,50.9686551,-114.0555871,TD Canada Trust,50.9563187,-114.0687931,Bank
103,Acadia,50.9686551,-114.0555871,JYSK | Bed Bath Home,50.981627637570305,-114.03971672058105,Furniture / Home Store
104,Acadia,50.9686551,-114.0555871,7-Eleven,50.9642523,-114.047939,Convenience Store
105,Acadia,50.9686551,-114.0555871,A&W - Southcentre Food Court (A&W),50.952758,-114.064597,Fast Food Restaurant
106,Acadia,50.9686551,-114.0555871,Tim Hortons,50.98135641258422,-114.04545622209025,Coffee Shop
107,Acadia,50.9686551,-114.0555871,Dairy Queen / Orange Julius,50.953079,-114.064825,Ice Cream Shop
108,Acadia,50.9686551,-114.0555871,Winners,50.9799845645587,-114.068735539913,Department Store
109,Acadia,50.9686551,-114.0555871,Subway,50.9781159,-114.0416481,Sandwich Place
110,Acadia,50.9686551,-114.0555871,Via Cibo,50.983927504390216,-114.04288172721863,Italian Restaurant
111,Acadia,50.9686551,-114.0555871,Subway,50.95254478101334,-114.06591733791538,Sandwich Place
112,Acadia,50.9686551,-114.0555871,Tim Hortons,50.9844554,-114.0456763,Coffee Shop
113,Acadia,50.9686551,-114.0555871,Shoppers Drug Mart,50.953317452391126,-114.06688213348389,Pharmacy
114,Acadia,50.9686551,-114.0555871,Nordstrom Rack,50.983277,-114.039908,Discount Store
115,Acadia,50.9686551,-114.0555871,London Drugs,50.978572605323,-114.06966728432154,Pharmacy
116,Acadia,50.9686551,-114.0555871,Ricky's All Day Grill,50.978732353288954,-114.04162593967362,American Restaurant
117,Acadia,50.9686551,-114.0555871,Moxie's Classic Grill,50.98137533576014,-114.04534861435538,American Restaurant
118,Acadia,50.9686551,-114.0555871,Willow Park Golf & Country Club,50.958102625417176,-114.04899193357954,Golf Course
119,Acadia,50.9686551,-114.0555871,Calgary Farmers Market,50.98112408648637,-114.05005634164705,Flea Market
120,Acadia,50.9686551,-114.0555871,Chatters Hair Salon,50.9785262,-114.0415636,Salon / Barbershop
121,Acadia,50.9686551,-114.0555871,Shoe Warehouse,50.98075452465523,-114.07015927542199,Shoe Store
122,Acadia,50.9686551,-114.0555871,a taste of quebec,50.984748,-114.051593,French Restaurant
123,Albert Park/Radisson Heights,51.044845,-113.9901949,Pacific Hut Restaurant,51.03692238262008,-113.98876716446624,Asian Restaurant
124,Albert Park/Radisson Heights,51.044845,-113.9901949,Shawarma Palace,51.037969176718356,-113.97908643380909,Falafel Restaurant
125,Albert Park/Radisson Heights,51.044845,-113.9901949,Tool Shed Brewing Company,51.05977413389363,-113.98966883629014,Brewery
126,Albert Park/Radisson Heights,51.044845,-113.9901949,Olive Garden,51.05293698848317,-113.9824487225129,Italian Restaurant
127,Albert Park/Radisson Heights,51.044845,-113.9901949,Red Lobster,51.054367,-113.982448,Seafood Restaurant
128,Albert Park/Radisson Heights,51.044845,-113.9901949,Tiffin Curry & Roti House,51.051003900333505,-113.99294628256425,Indian Restaurant
129,Albert Park/Radisson Heights,51.044845,-113.9901949,Co-op Forest Lawn,51.03866523838285,-113.98823192325376,Grocery Store
130,Albert Park/Radisson Heights,51.044845,-113.9901949,T & T Supermarket,51.061115350059275,-113.98517900723418,Grocery Store
131,Albert Park/Radisson Heights,51.044845,-113.9901949,Bob Bahan Aquatic & Fitness Centre,51.04160911564571,-113.96431909261312,Gym / Fitness Center
132,Albert Park/Radisson Heights,51.044845,-113.9901949,Pebble Street,51.06096856886478,-113.98392401935597,Chinese Restaurant
133,Albert Park/Radisson Heights,51.044845,-113.9901949,The Old Spaghetti Factory,51.05577381753014,-113.98109436035156,Italian Restaurant
134,Albert Park/Radisson Heights,51.044845,-113.9901949,Insadong Korean BBQ,51.061599825793344,-113.98110672484104,Korean Restaurant
135,Albert Park/Radisson Heights,51.044845,-113.9901949,Tim Hortons,51.0568538,-113.9825335,Coffee Shop
136,Albert Park/Radisson Heights,51.044845,-113.9901949,Popeyes Louisiana Kitchen,51.03753574566728,-113.97843275875135,Fried Chicken Joint
137,Albert Park/Radisson Heights,51.044845,-113.9901949,Bonasera Pizza And Sports Bar,51.029893,-113.982543,Bar
138,Albert Park/Radisson Heights,51.044845,-113.9901949,Pho Xuan,51.06144441382595,-113.98091083948098,Vietnamese Restaurant
139,Albert Park/Radisson Heights,51.044845,-113.9901949,Subway,51.05033745816884,-113.99337296199133,Sandwich Place
140,Albert Park/Radisson Heights,51.044845,-113.9901949,7-Eleven,51.051550347917264,-113.98026555776596,Convenience Store
141,Albert Park/Radisson Heights,51.044845,-113.9901949,Indonesian Kitchen,51.03768303347933,-113.97751284349131,Indonesian Restaurant
142,Albert Park/Radisson Heights,51.044845,-113.9901949,A&W,51.038104,-113.990146,Fast Food Restaurant
143,Albert Park/Radisson Heights,51.044845,-113.9901949,Starbucks,51.054228,-113.984965,Coffee Shop
144,Albert Park/Radisson Heights,51.044845,-113.9901949,Shoppers Drug Mart,51.05275,-113.97742,Pharmacy
145,Albert Park/Radisson Heights,51.044845,-113.9901949,7-Eleven,51.04737124088167,-113.98930808065649,Convenience Store
146,Albert Park/Radisson Heights,51.044845,-113.9901949,Hong Kong International Market,51.0369521747585,-113.98897834321969,Grocery Store
147,Albert Park/Radisson Heights,51.044845,-113.9901949,Subway,51.03741939218942,-113.98228851777367,Sandwich Place
148,Albert Park/Radisson Heights,51.044845,-113.9901949,The Keg Steakhouse + Bar,51.05488248620167,-113.98224306327386,Steakhouse
149,Albert Park/Radisson Heights,51.044845,-113.9901949,Dairy Queen,51.037464623765885,-113.9680822976743,Ice Cream Shop
150,Albert Park/Radisson Heights,51.044845,-113.9901949,Swiss Chalet,51.04919343903402,-113.99245752272986,Restaurant
151,Albert Park/Radisson Heights,51.044845,-113.9901949,Subway,51.056234,-113.978354,Sandwich Place
152,Albert Park/Radisson Heights,51.044845,-113.9901949,Thai Express,51.054088,-113.978198,Restaurant
153,Albert Park/Radisson Heights,51.044845,-113.9901949,Tim Hortons,51.055267685957396,-113.97866399999998,Coffee Shop
154,Albert Park/Radisson Heights,51.044845,-113.9901949,TD Canada Trust,51.0523991,-113.9706429,Bank
155,Albert Park/Radisson Heights,51.044845,-113.9901949,Shoppers Drug Mart,51.038713,-113.98873,Pharmacy
156,Albert Park/Radisson Heights,51.044845,-113.9901949,7-Eleven,51.03818957095546,-113.97836198564619,Convenience Store
157,Albert Park/Radisson Heights,51.044845,-113.9901949,Staples Calgary Northgate,51.05651899654066,-113.98399114608765,Paper / Office Supplies Store
158,Albert Park/Radisson Heights,51.044845,-113.9901949,New Dynasty,51.04753999893951,-113.9900038501292,Asian Restaurant
159,Albert Park/Radisson Heights,51.044845,-113.9901949,Wendy’s,51.05587581672298,-113.9825052022934,Fast Food Restaurant
160,Albert Park/Radisson Heights,51.044845,-113.9901949,Fit4Less,51.060643,-113.984678,Gym
161,Albert Park/Radisson Heights,51.044845,-113.9901949,Pho Binh Minh,51.038649062812816,-113.96607401644197,Vietnamese Restaurant
162,Albert Park/Radisson Heights,51.044845,-113.9901949,7-Eleven,51.02983850317355,-113.98205995559698,Convenience Store
163,Albert Park/Radisson Heights,51.044845,-113.9901949,Fiasco Gelato,51.04923664250096,-114.00874269764381,Food Truck
164,Albert Park/Radisson Heights,51.044845,-113.9901949,Max Bell Centre,51.04231225025809,-114.00490363321343,Hockey Arena
165,Albert Park/Radisson Heights,51.044845,-113.9901949,Pizza Hut,51.03813260145554,-113.965998,Pizza Place
166,Albert Park/Radisson Heights,51.044845,-113.9901949,Merv's No Frills,51.03757,-113.968901,Grocery Store
167,Albert Park/Radisson Heights,51.044845,-113.9901949,TD Canada Trust,51.0380272,-113.9926878,Bank
168,Albert Park/Radisson Heights,51.044845,-113.9901949,McDonald's,51.053700331618714,-113.98139482250427,Fast Food Restaurant
169,Albert Park/Radisson Heights,51.044845,-113.9901949,Co-op Liquor Store,51.038636938665306,-113.98913480999474,Liquor Store
170,Albert Park/Radisson Heights,51.044845,-113.9901949,Forbidden City Restaurant,51.06094631128081,-113.9841083556918,Dim Sum Restaurant
171,Albert Park/Radisson Heights,51.044845,-113.9901949,Dollarama,51.036449,-113.990351,Discount Store
172,Albert Park/Radisson Heights,51.044845,-113.9901949,Lucky Supermarket,51.04460303298881,-113.96820079947449,Grocery Store
173,Albert Park/Radisson Heights,51.044845,-113.9901949,Let's Bowl,51.05718580384875,-113.99287912151158,Bowling Alley
174,Albert Park/Radisson Heights,51.044845,-113.9901949,Humptys Family Restaurant,51.059811,-113.98108928185113,Breakfast Spot
175,Albert Park/Radisson Heights,51.044845,-113.9901949,McDonald's,51.03749576846379,-113.96757250673971,Fast Food Restaurant
176,Albert Park/Radisson Heights,51.044845,-113.9901949,Eat-A-Pita,51.038169269722914,-113.96823048591614,Mediterranean Restaurant
177,Albert Park/Radisson Heights,51.044845,-113.9901949,Inglewood Golf & Curling Club,51.03036106416569,-113.99888106509852,Golf Course
178,Albert Park/Radisson Heights,51.044845,-113.9901949,Husky,51.05881486540241,-114.00080290694372,Gas Station
179,Albert Park/Radisson Heights,51.044845,-113.9901949,The Coffee Connection,51.060993,-113.996022,Coffee Shop
180,Albert Park/Radisson Heights,51.044845,-113.9901949,Bubblicious,51.06164546905045,-113.98390329129059,Juice Bar
181,Albert Park/Radisson Heights,51.044845,-113.9901949,stax cycle club,51.038589,-114.01697,Cycle Studio
182,Altadore,51.0151043,-114.1007564,Monogram Coffee,51.010967065214984,-114.10005439602287,Coffee Shop
183,Altadore,51.0151043,-114.1007564,River Park Off-Leash Area,51.013650687958496,-114.09530089507301,Dog Run
184,Altadore,51.0151043,-114.1007564,Garrison Pub,51.01613050366704,-114.10867442058723,Pub
185,Altadore,51.0151043,-114.1007564,My Favorite Ice Cream Shoppe,51.01623901852997,-114.1088878951834,Ice Cream Shop
186,Altadore,51.0151043,-114.1007564,The Military Museums,51.013865704880146,-114.11635146192484,History Museum
187,Altadore,51.0151043,-114.1007564,Phil & Sebastian Coffee Roasters,51.0239564056797,-114.10876824889722,Coffee Shop
188,Altadore,51.0151043,-114.1007564,Village Ice Cream,51.009683588054585,-114.08268720965626,Ice Cream Shop
189,Altadore,51.0151043,-114.1007564,Pfanntastic Pannenkoek Haus,51.005003,-114.117185,Breakfast Spot
190,Altadore,51.0151043,-114.1007564,nho saigon,51.023869751767954,-114.1101550631155,Vietnamese Restaurant
191,Altadore,51.0151043,-114.1007564,Sunterra Market,51.009585436816586,-114.08202238092149,Food & Drink Shop
192,Altadore,51.0151043,-114.1007564,Belmont Diner,51.024114,-114.107743,Breakfast Spot
193,Altadore,51.0151043,-114.1007564,Avenue Deli,51.02412290202764,-114.10721219355915,Sandwich Place
194,Altadore,51.0151043,-114.1007564,Wild Rose Brewery,51.01473298687669,-114.12303944415359,Brewery
195,Altadore,51.0151043,-114.1007564,Merchants,51.02419023726517,-114.1105863627715,Gastropub
196,Altadore,51.0151043,-114.1007564,Original Joe's Restaurant & Bar,51.02307499458444,-114.10905909555515,Restaurant
197,Altadore,51.0151043,-114.1007564,Monogram Coffee,51.009791,-114.0816,Coffee Shop
198,Altadore,51.0151043,-114.1007564,Globefish,51.02370785376438,-114.10742621975263,Sushi Restaurant
199,Altadore,51.0151043,-114.1007564,Village Ice Cream,51.023079,-114.11462,Snack Place
200,Altadore,51.0151043,-114.1007564,The Trop,51.023080465475445,-114.09514711359157,Bar
201,Altadore,51.0151043,-114.1007564,Browns Socialhouse Britannia,51.00804052411855,-114.08151263874989,Restaurant
202,Altadore,51.0151043,-114.1007564,Starbucks,51.02276,-114.11466,Coffee Shop
203,Altadore,51.0151043,-114.1007564,Famoso Neapolitan Pizzeria,51.03247453902227,-114.10610652847038,Pizza Place
204,Altadore,51.0151043,-114.1007564,Starbucks,51.009921,-114.082675,Coffee Shop
205,Altadore,51.0151043,-114.1007564,Flames Community Arenas,51.01181734369762,-114.11646578213734,Skating Rink
206,Altadore,51.0151043,-114.1007564,Second Cup,51.023773584722065,-114.11239740954036,Coffee Shop
207,Altadore,51.0151043,-114.1007564,Booster Juice,51.02274746,-114.1140276,Smoothie Shop
208,Altadore,51.0151043,-114.1007564,RBC Royal Bank,51.00945470439247,-114.08212174270471,Bank
209,Altadore,51.0151043,-114.1007564,Subway,51.02383511310923,-114.109947271755,Sandwich Place
210,Altadore,51.0151043,-114.1007564,Petro-Canada,51.023761,-114.113538,Gas Station
211,Altadore,51.0151043,-114.1007564,7-Eleven,51.0308343,-114.0952083,Convenience Store
212,Altadore,51.0151043,-114.1007564,Shoppers Drug Mart,51.023869,-114.109277,Pharmacy
213,Altadore,51.0151043,-114.1007564,Starbucks,51.031795,-114.095158,Coffee Shop
214,Altadore,51.0151043,-114.1007564,Safeway Canada,51.022817038781554,-114.11606911742753,Supermarket
215,Altadore,51.0151043,-114.1007564,Sandy Beach Park,51.01110356172787,-114.09168570297959,Park
216,Altadore,51.0151043,-114.1007564,River Park Offleash South Parking Area,51.00905358518542,-114.09517266833727,Dog Run
217,Altadore,51.0151043,-114.1007564,Sandy Beach,51.00998368969429,-114.09090309391168,Dog Run
218,Altadore,51.0151043,-114.1007564,Chinook School Of Music,51.0225744,-114.10599946975708,Music Store
219,Altadore,51.0151043,-114.1007564,Stu Peppard Arena,51.00654296337277,-114.10355131406102,Hockey Rink
220,Altadore,51.0151043,-114.1007564,Marda Loop Community Association,51.026069283338025,-114.09810779697781,Athletics & Sports
221,Altadore,51.0151043,-114.1007564,Britania Dog Park,51.010475742791286,-114.08199948648532,Park
222,Altadore,51.0151043,-114.1007564,Our Daily Brett,51.027526,-114.094934,Café
223,Altadore,51.0151043,-114.1007564,Bally's Bar & Grill,51.02822061348175,-114.09508153744494,Pub
224,Altadore,51.0151043,-114.1007564,Bankview Liquor,51.02844535725104,-114.09505231952706,Liquor Store
225,Altadore,51.0151043,-114.1007564,Lakeview Golf Course,51.001407593551896,-114.10523844388474,Golf Course
226,Altadore,51.0151043,-114.1007564,Mac's,51.0044976,-114.1167343,Food & Drink Shop
227,Altadore,51.0151043,-114.1007564,Zumiez,50.999613905382155,-114.08654869091663,Clothing Store
228,Applewood Park,51.0446578,-113.9289305,Costco,51.04314066784012,-113.9175181118504,Warehouse Store
229,Applewood Park,51.0446578,-113.9289305,Cineplex Cinemas East Hills,51.039488,-113.913972,Movie Theater
230,Applewood Park,51.0446578,-113.9289305,Atlas Pizza and Sports Bar,51.0524805,-113.9418587,Pizza Place
231,Applewood Park,51.0446578,-113.9289305,Song Huong Vietnamese Restaurant,51.0386063405742,-113.94220816513335,Vietnamese Restaurant
232,Applewood Park,51.0446578,-113.9289305,Michaels,51.04064955668218,-113.91570979629518,Arts & Crafts Store
233,Applewood Park,51.0446578,-113.9289305,Elliston Park,51.0371140930543,-113.94449517416159,Lake
234,Applewood Park,51.0446578,-113.9289305,Tim Hortons,51.0384020171538,-113.931030929088,Coffee Shop
235,Applewood Park,51.0446578,-113.9289305,Starbucks,51.038989,-113.908861,Coffee Shop
236,Applewood Park,51.0446578,-113.9289305,7-Eleven,51.038469479958685,-113.9421164989472,Convenience Store
237,Applewood Park,51.0446578,-113.9289305,Walmart Supercentre,51.03870294781159,-113.91114888788228,Big Box Store
238,Applewood Park,51.0446578,-113.9289305,Subway,51.05923895116167,-113.93442341268587,Sandwich Place
239,Applewood Park,51.0446578,-113.9289305,Subway,51.05278592054154,-113.94244909969856,Sandwich Place
240,Applewood Park,51.0446578,-113.9289305,Tim Hortons,51.03845936054419,-113.9107882976532,Restaurant
241,Applewood Park,51.0446578,-113.9289305,7-Eleven,51.04551880161211,-113.95734071731567,Convenience Store
242,Applewood Park,51.0446578,-113.9289305,Dairy Queen,51.05308466685636,-113.94369900226593,Ice Cream Shop
243,Applewood Park,51.0446578,-113.9289305,Dollarama,51.04113,-113.916392,Discount Store
244,Applewood Park,51.0446578,-113.9289305,Barrio Fiesta,51.05269462165122,-113.93554446230148,Filipino Restaurant
245,Applewood Park,51.0446578,-113.9289305,Mely's Bakery and Café,51.0526719304692,-113.9360309000263,Café
246,Applewood Park,51.0446578,-113.9289305,Three Fortunes,51.05318751498924,-113.94292652606964,Chinese Restaurant
247,Applewood Park,51.0446578,-113.9289305,Dollarama,51.052759,-113.943773,Discount Store
248,Applewood Park,51.0446578,-113.9289305,Panda Express,51.0398,-113.90879,Asian Restaurant
249,Applewood Park,51.0446578,-113.9289305,Ace Mats and Services,51.035216,-113.946724,Paper / Office Supplies Store
250,Applewood Park,51.0446578,-113.9289305,Mac's,51.0593765,-113.9344252,Convenience Store
251,Arbour Lake,51.1367865,-114.2023554,Calgary Co-op Wines & Spirits,51.12443462890492,-114.20072374371915,Liquor Store
252,Arbour Lake,51.1367865,-114.2023554,YMCA,51.12889745758644,-114.19544768795078,Gym / Fitness Center
253,Arbour Lake,51.1367865,-114.2023554,Hot Yoga on Crowfoot,51.12844180935251,-114.20178947487125,Yoga Studio
254,Arbour Lake,51.1367865,-114.2023554,Sushi Boat,51.12719113964171,-114.20649647598867,Sushi Restaurant
